Name,CLARK Y AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.059930
99.000000,0.296900
98.000000,0.533350
97.000000,0.768680
96.000000,1.002320
94.000000,1.462390
92.000000,1.911560
90.000000,2.350250
88.000000,2.778910
86.000000,3.197400
84.000000,3.605360
82.000000,4.002450
80.000000,4.388360
78.000000,4.762810
76.000000,5.125650
74.000000,5.476750
72.000000,5.815990
70.000000,6.143290
68.000000,6.458430
66.000000,6.760460
64.000000,7.048220
62.000000,7.320550
60.000000,7.576330
58.000000,7.814510
56.000000,8.034800
54.000000,8.237120
52.000000,8.421450
50.000000,8.587720
48.000000,8.735720
46.000000,8.864270
44.000000,8.971750
42.000000,9.056570
40.000000,9.117120
38.000000,9.152120
36.000000,9.162660
34.000000,9.150790
32.000000,9.118570
30.000000,9.068040
28.000000,9.000160
26.000000,8.908400
24.000000,8.783080
22.000000,8.614330
20.000000,8.392020
18.000000,8.106870
16.000000,7.757070
14.000000,7.343600
12.000000,6.862040
10.000000,6.299810
8.000000,5.643080
6.000000,4.875710
5.000000,4.427530
4.000000,3.912830
3.000000,3.302150
2.000000,2.537350
1.200000,1.785810
0.800000,1.373500
0.400000,0.892380
0.200000,0.580250
0.100000,0.372710
0.050000,0.233900
0.000000,0.000000
0.050000,-0.467000
0.100000,-0.594180
0.200000,-0.781130
0.400000,-1.051260
0.800000,-1.428620
1.200000,-1.697330
2.000000,-2.027230
3.000000,-2.260560
4.000000,-2.452110
5.000000,-2.604520
6.000000,-2.712770
8.000000,-2.845950
10.000000,-2.937860
12.000000,-2.996330
14.000000,-3.024040
16.000000,-3.025460
18.000000,-3.004900
20.000000,-2.966560
22.000000,-2.914450
24.000000,-2.851810
26.000000,-2.781640
28.000000,-2.706960
30.000000,-2.630790
32.000000,-2.555650
34.000000,-2.481760
36.000000,-2.408700
38.000000,-2.336060
40.000000,-2.263410
42.000000,-2.190420
44.000000,-2.117080
46.000000,-2.043530
48.000000,-1.969860
50.000000,-1.896190
52.000000,-1.822620
54.000000,-1.749140
56.000000,-1.675720
58.000000,-1.602320
60.000000,-1.528930
62.000000,-1.455510
64.000000,-1.382070
66.000000,-1.308620
68.000000,-1.235150
70.000000,-1.161690
72.000000,-1.088230
74.000000,-1.014780
76.000000,-0.941330
78.000000,-0.867880
80.000000,-0.794430
82.000000,-0.720980
84.000000,-0.647530
86.000000,-0.574080
88.000000,-0.500630
90.000000,-0.427180
92.000000,-0.353730
94.000000,-0.280280
96.000000,-0.206830
97.000000,-0.170110
98.000000,-0.133390
99.000000,-0.096660
100.000000,-0.059930
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.050000,-0.116550
0.100000,-0.110735
0.200000,-0.100440
0.400000,-0.079440
0.800000,-0.027560
1.200000,0.044240
2.000000,0.255060
3.000000,0.520795
4.000000,0.730360
5.000000,0.911505
6.000000,1.081470
8.000000,1.398565
10.000000,1.680975
12.000000,1.932855
14.000000,2.159780
16.000000,2.365805
18.000000,2.550985
20.000000,2.712730
22.000000,2.849940
24.000000,2.965635
26.000000,3.063380
28.000000,3.146600
30.000000,3.218625
32.000000,3.281460
34.000000,3.334515
36.000000,3.376980
38.000000,3.408030
40.000000,3.426855
42.000000,3.433075
44.000000,3.427335
46.000000,3.410370
48.000000,3.382930
50.000000,3.345765
52.000000,3.299415
54.000000,3.243990
56.000000,3.179540
58.000000,3.106095
60.000000,3.023700
62.000000,2.932520
64.000000,2.833075
66.000000,2.725920
68.000000,2.611640
70.000000,2.490800
72.000000,2.363880
74.000000,2.230985
76.000000,2.092160
78.000000,1.947465
80.000000,1.796965
82.000000,1.640735
84.000000,1.478915
86.000000,1.311660
88.000000,1.139140
90.000000,0.961535
92.000000,0.778915
94.000000,0.591055
96.000000,0.397745
97.000000,0.299285
98.000000,0.199980
99.000000,0.100120
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
